SkillsID, SkillLabel, SkillCategory
21,Administrative Support,Receptionist
22,Appointment Scheduling,Receptionist
23,Customer Service focus,Receptionist
24,Event Planning,Receptionist
25,Filing,Receptionist
26,Greeting Visitors,Receptionist
27,Microsoft Office,Receptionist
28,Phone calls,Receptionist
29,Providing Information,Receptionist
30,Screening and Directing Calls,Receptionist
31,Bus Tables,Waiter
32,Cleaning ,Waiter
33,Food and Beverage Knowledge,Waiter
34,Greet guests,Waiter
35,Handle Cash and Credit Transactions,Waiter
36,Knowledge of Table Setting,Waiter
37,Maintain table appearance ,Waiter
38,Memorize Menu and Pricing,Waiter
39,Working knowledge of sanitation,Waiter
40,Working Quickly,Waiter
